,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_encoded,Embarked_encoded,Age_categorized
0,0,3,male,22.0,1,0,7.25,S,1,2,2
1,1,1,female,38.0,1,0,71.2833,C,0,0,2
2,1,3,female,26.0,0,0,7.925,S,0,2,2
3,1,1,female,35.0,1,0,53.1,S,0,2,2
4,0,3,male,35.0,0,0,8.05,S,1,2,2
5,0,3,male,27.0,0,0,8.4583,Q,1,1,2
6,0,1,male,54.0,0,0,51.8625,S,1,2,3
7,0,3,male,2.0,3,1,21.075,S,1,2,1
8,1,3,female,27.0,0,2,11.1333,S,0,2,2
9,1,2,female,14.0,1,0,30.0708,C,0,0,1
10,1,3,female,4.0,1,1,16.7,S,0,2,1
11,1,1,female,58.0,0,0,26.55,S,0,2,3
12,0,3,male,20.0,0,0,8.05,S,1,2,2
13,0,3,male,39.0,1,5,31.275,S,1,2,2
14,0,3,female,14.0,0,0,7.8542,S,0,2,1
15,1,2,female,55.0,0,0,16.0,S,0,2,3
16,0,3,male,2.0,4,1,29.125,Q,1,1,1
17,1,2,male,31.0,0,0,13.0,S,1,2,2
18,0,3,female,31.0,1,0,18.0,S,0,2,2
19,1,3,female,22.0,0,0,7.225,C,0,0,2
20,0,2,male,35.0,0,0,26.0,S,1,2,2
21,1,2,male,34.0,0,0,13.0,S,1,2,2
22,1,3,female,15.0,0,0,8.0292,Q,0,1,1
23,1,1,male,28.0,0,0,35.5,S,1,2,2
24,0,3,female,8.0,3,1,21.075,S,0,2,1
25,1,3,female,38.0,1,5,31.3875,S,0,2,2
26,0,3,male,27.0,0,0,7.225,C,1,0,2
27,0,1,male,19.0,3,2,263.0,S,1,2,2
28,1,3,female,22.0,0,0,7.8792,Q,0,1,2
29,0,3,male,27.0,0,0,7.8958,S,1,2,2
30,0,1,male,40.0,0,0,27.7208,C,1,0,2
31,1,1,female,35.0,1,0,146.5208,C,0,0,2
32,1,3,female,22.0,0,0,7.75,Q,0,1,2
33,0,2,male,66.0,0,0,10.5,S,1,2,4
34,0,1,male,28.0,1,0,82.1708,C,1,0,2
35,0,1,male,42.0,1,0,52.0,S,1,2,3
36,1,3,male,27.0,0,0,7.2292,C,1,0,2
37,0,3,male,21.0,0,0,8.05,S,1,2,2
38,0,3,female,18.0,2,0,18.0,S,0,2,1
39,1,3,female,14.0,1,0,11.2417,C,0,0,1
40,0,3,female,40.0,1,0,9.475,S,0,2,2
41,0,2,female,27.0,1,0,21.0,S,0,2,2
42,0,3,male,27.0,0,0,7.8958,C,1,0,2
43,1,2,female,3.0,1,2,41.5792,C,0,0,1
44,1,3,female,19.0,0,0,7.8792,Q,0,1,2
45,0,3,male,27.0,0,0,8.05,S,1,2,2
46,0,3,male,27.0,1,0,15.5,Q,1,1,2
47,1,3,female,22.0,0,0,7.75,Q,0,1,2
48,0,3,male,27.0,2,0,21.6792,C,1,0,2
49,0,3,female,18.0,1,0,17.8,S,0,2,1
50,0,3,male,7.0,4,1,39.6875,S,1,2,1
51,0,3,male,21.0,0,0,7.8,S,1,2,2
52,1,1,female,49.0,1,0,76.7292,C,0,0,3
53,1,2,female,29.0,1,0,26.0,S,0,2,2
54,0,1,male,65.0,0,1,61.9792,C,1,0,4
55,1,1,male,41.0,0,0,35.5,S,1,2,3
56,1,2,female,21.0,0,0,10.5,S,0,2,2
57,0,3,male,28.5,0,0,7.2292,C,1,0,2
58,1,2,female,5.0,1,2,27.75,S,0,2,1
59,0,3,male,11.0,5,2,46.9,S,1,2,1
60,0,3,male,22.0,0,0,7.2292,C,1,0,2
61,1,1,female,38.0,0,0,80.0,,0,-1,2
62,0,1,male,45.0,1,0,83.475,S,1,2,3
63,0,3,male,4.0,3,2,27.9,S,1,2,1
64,0,1,male,41.0,0,0,27.7208,C,1,0,3
65,1,3,male,27.0,1,1,15.2458,C,1,0,2
66,1,2,female,29.0,0,0,10.5,S,0,2,2
67,0,3,male,19.0,0,0,8.1583,S,1,2,2
68,1,3,female,17.0,4,2,7.925,S,0,2,1
69,0,3,male,26.0,2,0,8.6625,S,1,2,2
70,0,2,male,32.0,0,0,10.5,S,1,2,2
71,0,3,female,16.0,5,2,46.9,S,0,2,1
72,0,2,male,21.0,0,0,73.5,S,1,2,2
73,0,3,male,26.0,1,0,14.4542,C,1,0,2
74,1,3,male,32.0,0,0,56.4958,S,1,2,2
75,0,3,male,25.0,0,0,7.65,S,1,2,2
76,0,3,male,27.0,0,0,7.8958,S,1,2,2
77,0,3,male,27.0,0,0,8.05,S,1,2,2
78,1,2,male,0.83,0,2,29.0,S,1,2,1
79,1,3,female,30.0,0,0,12.475,S,0,2,2
80,0,3,male,22.0,0,0,9.0,S,1,2,2
81,1,3,male,29.0,0,0,9.5,S,1,2,2
82,1,3,female,22.0,0,0,7.7875,Q,0,1,2
83,0,1,male,28.0,0,0,47.1,S,1,2,2
84,1,2,female,17.0,0,0,10.5,S,0,2,1
85,1,3,female,33.0,3,0,15.85,S,0,2,2
86,0,3,male,16.0,1,3,34.375,S,1,2,1
87,0,3,male,27.0,0,0,8.05,S,1,2,2
88,1,1,female,23.0,3,2,263.0,S,0,2,2
89,0,3,male,24.0,0,0,8.05,S,1,2,2
90,0,3,male,29.0,0,0,8.05,S,1,2,2
91,0,3,male,20.0,0,0,7.8542,S,1,2,2
92,0,1,male,46.0,1,0,61.175,S,1,2,3
93,0,3,male,26.0,1,2,20.575,S,1,2,2
94,0,3,male,59.0,0,0,7.25,S,1,2,3
95,0,3,male,27.0,0,0,8.05,S,1,2,2
96,0,1,male,71.0,0,0,34.6542,C,1,0,4
97,1,1,male,23.0,0,1,63.3583,C,1,0,2
98,1,2,female,34.0,0,1,23.0,S,0,2,2
99,0,2,male,34.0,1,0,26.0,S,1,2,2
100,0,3,female,28.0,0,0,7.8958,S,0,2,2
101,0,3,male,27.0,0,0,7.8958,S,1,2,2
102,0,1,male,21.0,0,1,77.2875,S,1,2,2
103,0,3,male,33.0,0,0,8.6542,S,1,2,2
104,0,3,male,37.0,2,0,7.925,S,1,2,2
105,0,3,male,28.0,0,0,7.8958,S,1,2,2
106,1,3,female,21.0,0,0,7.65,S,0,2,2
107,1,3,male,27.0,0,0,7.775,S,1,2,2
108,0,3,male,38.0,0,0,7.8958,S,1,2,2
109,1,3,female,22.0,1,0,24.15,Q,0,1,2
110,0,1,male,47.0,0,0,52.0,S,1,2,3
111,0,3,female,14.5,1,0,14.4542,C,0,0,1
112,0,3,male,22.0,0,0,8.05,S,1,2,2
113,0,3,female,20.0,1,0,9.825,S,0,2,2
114,0,3,female,17.0,0,0,14.4583,C,0,0,1
115,0,3,male,21.0,0,0,7.925,S,1,2,2
116,0,3,male,70.5,0,0,7.75,Q,1,1,4
117,0,2,male,29.0,1,0,21.0,S,1,2,2
118,0,1,male,24.0,0,1,247.5208,C,1,0,2
119,0,3,female,2.0,4,2,31.275,S,0,2,1
120,0,2,male,21.0,2,0,73.5,S,1,2,2
121,0,3,male,27.0,0,0,8.05,S,1,2,2
122,0,2,male,32.5,1,0,30.0708,C,1,0,2
123,1,2,female,32.5,0,0,13.0,S,0,2,2
124,0,1,male,54.0,0,1,77.2875,S,1,2,3
125,1,3,male,12.0,1,0,11.2417,C,1,0,1
126,0,3,male,27.0,0,0,7.75,Q,1,1,2
127,1,3,male,24.0,0,0,7.1417,S,1,2,2
128,1,3,female,22.0,1,1,22.3583,C,0,0,2
129,0,3,male,45.0,0,0,6.975,S,1,2,3
130,0,3,male,33.0,0,0,7.8958,C,1,0,2
131,0,3,male,20.0,0,0,7.05,S,1,2,2
132,0,3,female,47.0,1,0,14.5,S,0,2,3
133,1,2,female,29.0,1,0,26.0,S,0,2,2
134,0,2,male,25.0,0,0,13.0,S,1,2,2
135,0,2,male,23.0,0,0,15.0458,C,1,0,2
136,1,1,female,19.0,0,2,26.2833,S,0,2,2
137,0,1,male,37.0,1,0,53.1,S,1,2,2
138,0,3,male,16.0,0,0,9.2167,S,1,2,1
139,0,1,male,24.0,0,0,79.2,C,1,0,2
140,0,3,female,22.0,0,2,15.2458,C,0,0,2
141,1,3,female,22.0,0,0,7.75,S,0,2,2
142,1,3,female,24.0,1,0,15.85,S,0,2,2
143,0,3,male,19.0,0,0,6.75,Q,1,1,2
144,0,2,male,18.0,0,0,11.5,S,1,2,1
145,0,2,male,19.0,1,1,36.75,S,1,2,2
146,1,3,male,27.0,0,0,7.7958,S,1,2,2
147,0,3,female,9.0,2,2,34.375,S,0,2,1
148,0,2,male,36.5,0,2,26.0,S,1,2,2
149,0,2,male,42.0,0,0,13.0,S,1,2,3
150,0,2,male,51.0,0,0,12.525,S,1,2,3
151,1,1,female,22.0,1,0,66.6,S,0,2,2
152,0,3,male,55.5,0,0,8.05,S,1,2,3
153,0,3,male,40.5,0,2,14.5,S,1,2,3
154,0,3,male,27.0,0,0,7.3125,S,1,2,2
155,0,1,male,51.0,0,1,61.3792,C,1,0,3
156,1,3,female,16.0,0,0,7.7333,Q,0,1,1
157,0,3,male,30.0,0,0,8.05,S,1,2,2
158,0,3,male,27.0,0,0,8.6625,S,1,2,2
